"rocket_name","mission_name","mission_type","mission_launch_cost","mission_description"
"Falcon 9 Block 5","Starlink Group 5-2","Communications","$52,000,000","A batch of 56 satellites for Starlink mega-constellation – SpaceX’s project for space-based Internet communication system."
"Falcon 9 Block 2","Starlink Group 5-3","Communications","$72,000,000","A batch of satellites for Starlink mega-constellation – SpaceX’s project for space-based Internet communication system."
"Proton-M Blok DM-03","Amazonas Nexus","Communications","$52,000,000","High-throughput geostationary communications satellite built by Thales Alenia Space for Hispasat."
"Soyuz 2.1a","Elektro-L No.4","Earth Science","$65,000,000","Elektro-L is a series of meteorological satellites developed for the Russian Federal Space Agency by NPO Lavochkin. They are designed to capture real-time images of clouds and the Earthâ€™s underlying surface, heliogeophysical measurements, collection and translating hydrometeorological and service data."
"Falcon 9 Block 2","Progress MS-22 (83P)","Resupply","$80,000,000","Progress resupply mission to the International Space Station."
"Terran 1","ALOS-3 (Maiden flight)","Earth Science","$50,000,000","Maiden flight of the H3 launch vehicle, carrying the Advanced Land Observing Satellite-3 (ALOS-3)."
"Soyuz MS-23","Soyuz MS-23","Human Exploration","$80,000,000","Soyuz MS-23 will fly without crew to the International Space Station from the Baikonur Cosmodrome in Kazakhstan to replace Soyuz MS-22, that suffered a thermal control system depressurization/leak on the ISS on December 15, 2022."
"Vulcan VC2S","Peregrine lunar lander, Kuipersat-1 & 2 (Maiden flight)","Lunar Exploration","unknown","Maiden flight of ULA’s Vulcan launch vehicle carrying the Peregrine lunar lander developed by Astrobotic Technology. The first two satellites of Amazon’s Project Kuiper constellation are onboard this launch as rideshare payloads."
"Falcon 9 Block 5","Crew-6","Human Exploration","$52,000,000","SpaceX Crew-6 is the sixth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA’s Commercial Crew Program."
"Falcon 9 Block 2","Starlink Group 2-2","Communications","$52,000,000","A batch of satellites for Starlink mega-constellation – SpaceX’s project for space-based Internet communication system."
